"","League","Season","Team","Link"
"1","Premier_League",2009,"Arsenal","/wiki/Arsenal_F.C."
"2","Premier_League",2009,"Aston Villa","/wiki/Aston_Villa_F.C."
"3","Premier_League",2009,"Birmingham City","/wiki/Birmingham_City_F.C."
"4","Premier_League",2009,"Blackburn Rovers","/wiki/Blackburn_Rovers_F.C."
"5","Premier_League",2009,"Bolton Wanderers","/wiki/Bolton_Wanderers_F.C."
"6","Premier_League",2009,"Burnley","/wiki/Burnley_F.C."
"7","Premier_League",2009,"Chelsea","/wiki/Chelsea_F.C."
"8","Premier_League",2009,"Everton","/wiki/Everton_F.C."
"9","Premier_League",2009,"Fulham","/wiki/Fulham_F.C."
"10","Premier_League",2009,"Hull City","/wiki/Hull_City_A.F.C."
"11","Premier_League",2009,"Liverpool","/wiki/Liverpool_F.C."
"12","Premier_League",2009,"Manchester City","/wiki/Manchester_City_F.C."
"13","Premier_League",2009,"Manchester United","/wiki/Manchester_United_F.C."
"14","Premier_League",2009,"Portsmouth","/wiki/Portsmouth_F.C."
"15","Premier_League",2009,"Stoke City","/wiki/Stoke_City_F.C."
"16","Premier_League",2009,"Sunderland","/wiki/Sunderland_A.F.C."
"17","Premier_League",2009,"Tottenham Hotspur","/wiki/Tottenham_Hotspur_F.C."
"18","Premier_League",2009,"West Ham United","/wiki/West_Ham_United_F.C."
"19","Premier_League",2009,"Wigan Athletic","/wiki/Wigan_Athletic_F.C."
"20","Premier_League",2009,"Wolverhampton Wanderers","/wiki/Wolverhampton_Wanderers_F.C."
